chat_id,date,group,exercise,run,weight,reps
5873737,2023-07-28,Плечи,Протяжка,1,10.0,12.0
5873737,2023-07-28,Плечи,Протяжка,2,10.0,12.0
5873737,2023-07-28,Плечи,Протяжка,3,20.0,12.0
5873737,2023-07-28,Плечи,Протяжка,4,20.0,15.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,1,8.0,10.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,2,10.0,10.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,3,12.0,10.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,4,15.0,10.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,5,15.0,10.0
5873737,2023-07-28,Плечи,Жим гантелей сидя,6,15.0,10.0
5873737,2023-07-28,Грудь,Жим штанги лежа на наклонной,1,40.0,10.0
5873737,2023-07-28,Грудь,Жим штанги лежа на наклонной,2,9.0,9.0
5873737,2023-07-28,Грудь,Жим штанги лежа на наклонной,3,40.0,12.0
5873737,2023-07-28,Грудь,Жим гантелей лежа,1,12.0,12.0
5873737,2023-07-28,Грудь,Жим гантелей лежа,2,15.0,12.0
5873737,2023-07-28,Грудь,Жим гантелей лежа,3,15.0,12.0
5873737,2023-07-28,Грудь,Жим гантелей лежа,4,15.0,10.0
5873737,2023-07-28,Грудь,Брусья,1,0.0,8.0
5873737,2023-07-28,Грудь,Брусья,2,0.0,8.0
5873737,2023-07-28,Грудь,Брусья,3,0.0,8.0
5873737,2023-07-28,Плечи,Тренажер у входа,1,15.0,12.0
5873737,2023-07-28,Плечи,Тренажер у входа,2,15.0,12.0
5873737,2023-07-28,Плечи,Тренажер у входа,3,15.0,12.0
5873737,2023-08-04,Грудь,Жим штанги лежа на наклонной,1,20.0,12.0
5873737,2023-08-04,Грудь,Жим штанги лежа на наклонной,2,30.0,12.0
5873737,2023-08-04,Грудь,Жим штанги лежа на наклонной,3,35.0,12.0
5873737,2023-08-04,Грудь,Жим штанги лежа на наклонной,4,35.0,12.0
5873737,2023-08-04,Грудь,Жим гантелей лежа,1,10.0,10.0
5873737,2023-08-04,Грудь,Жим гантелей лежа,2,15.0,12.0
5873737,2023-08-04,Грудь,Жим гантелей лежа,3,15.0,12.0
5873737,2023-08-04,Грудь,Бабочка,1,15.0,12.0
5873737,2023-08-04,Грудь,Бабочка,2,15.0,12.0
5873737,2023-08-04,Грудь,Бабочка,3,30.0,12.0
5873737,2023-08-04,Плечи,Тренажер у входа,1,10.0,12.0
5873737,2023-08-04,Плечи,Тренажер у входа,2,10.0,12.0
5873737,2023-08-04,Плечи,Тренажер у входа,3,20.0,12.0
5873737,2023-08-04,Плечи,Протяжка,1,15.0,12.0
5873737,2023-08-04,Плечи,Протяжка,2,15.0,12.0
5873737,2023-08-04,Плечи,Протяжка,3,15.0,12.0
5873737,2023-08-04,Плечи,Разведения гантелей,1,5.0,12.0
5873737,2023-08-04,Плечи,Разведения гантелей,2,5.0,12.0
5873737,2023-08-04,Плечи,Разведения гантелей,3,5.0,12.0
